science_name,commercial_name,pharmaceutical_form,presentation,no_of_doses,manufacturer,responsible_nra
BCG,BCG Freeze Dried Glutamate vaccine,Lyophilised active component to be reconstituted with excipient diluent before use,Ampoule,20,Japan BCG Laboratory,Chiba Local Government
BCG,BCG Vaccine,Lyophilised active component to be reconstituted with excipient diluent before use,Ampoule,10,National Center of Infectious and Parasitic Diseases,Bulgarian Drug Agency
BCG,BCG Vaccine,Lyophilised active component to be reconstituted with excipient diluent before use,Ampoule,20,National Center of Infectious and Parasitic Diseases,Bulgarian Drug Agency
BCG,BCG Vaccine,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,20,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
BCG,BCG vaccine (Freeze Dried) - Intradermal,Lyophilised active component to be reconstituted with excipient diluent before use,Vial + Ampoule,20,"Green Signal Bio Pharma Pvt., Ltd.",Central Drugs Standard Control Organization
BCG,BCG Vaccine SSI,Lyophilised active component to be reconstituted with excipient diluent before use,Two vial set (active + excipient),10,Statens Serum Institut,Danish Medicines Agency
cholera: inactivated oral,Dukoral,Liquid: ready to use,Vial + Buffer Sachet,1,Valneva Sweden AB,Medical Products Agency
cholera: inactivated oral,Euvichol,Liquid: ready to use,Vial,1,"Eubiologics Co., Ltd.",Ministry of Food and Drug Safety
cholera: inactivated oral,Shanchol,Liquid: ready to use,Vial,1,Shantha Biotechnics Limited,Central Drugs Standard Control Organization
Diphtheria-Tetanus,Adsorbed DT Vaccine,Liquid: ready to use,Vial,10,PT Bio Farma (Persero),National Agency of Drug and Food Control Indonesia
Diphtheria-Tetanus,Diftet,Liquid: ready to use,Vial,10,National Center of Infectious and Parasitic Diseases,Bulgarian Drug Agency
Diphtheria-Tetanus,Diftet,Liquid: ready to use,Vial,20,National Center of Infectious and Parasitic Diseases,Bulgarian Drug Agency
Diphtheria-Tetanus,Diphtheria and Tetanus Vaccine Adsorbed (Ped),Liquid: ready to use,Ampoule,1,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus,Diphtheria and Tetanus Vaccine Adsorbed (Ped),Liquid: ready to use,Vial,10,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus,Diphtheria and Tetanus Vaccine Adsorbed (Ped),Liquid: ready to use,Vial,20,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus,DT VAX,Liquid: ready to use,Vial,10,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Diphtheria-Tetanus,DT VAX,Liquid: ready to use,Vial,20,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Diphtheria-Tetanus (reduced antigen content),"Diphtheria and Tetanus Vaccine (Adsorbed, Reduced Antigen(s) content)",Liquid: ready to use,Vial,1,Biological E. Limited,Central Drugs Standard Control Organization
Diphtheria-Tetanus (reduced antigen content),"Diphtheria and Tetanus Vaccine (Adsorbed, Reduced Antigen(s) content)",Liquid: ready to use,Vial,10,Biological E. Limited,Central Drugs Standard Control Organization
Diphtheria-Tetanus (reduced antigen content),Diphtheria and Tetanus Vaccine Adsorbed for Adultsand Adolescents,Liquid: ready to use,Ampoule,1,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus (reduced antigen content),Diphtheria and Tetanus Vaccine Adsorbed for Adultsand Adolescents,Liquid: ready to use,Vial,10,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus (reduced antigen content),Diphtheria and Tetanus Vaccine Adsorbed for Adultsand Adolescents,Liquid: ready to use,Vial,20,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus (reduced antigen content),IMOVAX dT adult,Liquid: ready to use,Vial,10,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Diphtheria-Tetanus (reduced antigen content),none,Liquid: ready to use,Vial,10,PT Bio Farma (Persero),National Agency of Drug and Food Control Indonesia
Diphtheria-Tetanus (reduced antigen content),Tetadif,Liquid: ready to use,Vial,10,National Center of Infectious and Parasitic Diseases,Bulgarian Drug Agency
Diphtheria-Tetanus (reduced antigen content),Tetadif,Liquid: ready to use,Vial,20,National Center of Infectious and Parasitic Diseases,Bulgarian Drug Agency
Diphtheria-Tetanus-Pertussis (acellular),Boostrix,Liquid: ready to use,Vial,1,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Diphtheria-Tetanus-Pertussis (acellular)-Hepatitis B-Haemophilus influenzae type b-Polio (Inactivated),Hexaxim,Liquid: ready to use,Vial,1,Sanofi Pasteur SA,European Medicines Agency
Diphtheria-Tetanus-Pertussis (whole cell),"Diphteria, Tetanus and Pertussis Vaccine (Adsorbed)",Liquid: ready to use,Vial,10,Biological E. Limited,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell),Diphtheria-Tetanus- Pertussis Vaccine (Adsorbed),Liquid: ready to use,Vial,1,Biological E. Limited,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell),Diphtheria-Tetanus-Pertussis Vaccine Adsorbed,Liquid: ready to use,Ampoule,1,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
